track_id,audio features,audio features1
194,"[3.1574946419014647, 1.2686933404810523, -0.5123507813536021, 0.2342604368824157, -0.3507569619327591, -0.5625269018923664, 0.8170133658758442, 0.22273019737824315, -0.029644185594148713, 0.043914602239939475]",663f2c4c45a5a1b6dc17407b
197,"[3.8470966167726885, -0.3032235645003863, 0.3130673358100681, -0.6314617036773392, -0.07363214892151262, 0.254057441909706, -0.07356277688896125, 0.03198563474910363, -0.002248941966217006, 0.9879957783102132]",663f2c4c45a5a1b6dc17407c
198,"[3.5890687939462573, 2.2541978985654256, -0.7041101967015312, 0.8961883388269211, -0.6219604106416821, -0.6055041903310537, 1.1769387385264158, 0.02818140942054556, -0.805870107677896, 0.07586909193957798]",663f2c4c45a5a1b6dc17407d
200,"[2.7958296782655605, 2.01663561842382, -0.6405072490164958, 0.9518019550411917, -0.9310176815944636, -0.4625269287941612, 0.5369152909202107, 0.003272508759042287, -0.17866096871452714, 0.09551230111824571]",663f2c4c45a5a1b6dc17407e
203,"[6.6472125145556795, 1.9705237639443998, 0.38597582658094337, -1.517070982347562, -0.6736768320266528, -0.9767619573179797, 0.7159812557937935, 0.6198224749492466, -1.0721147686210668, 0.7156487911678511]",663f2c4c45a5a1b6dc17407f
204,"[3.6606563293706795, 1.3276131119247037, 0.5661352293160722, 0.049467910164089114, -0.19124677039761281, 0.7428486823293705, 0.6627803981834803, -0.18925759468558165, -0.4419272442227159, -0.8425177373001159]",663f2c4c45a5a1b6dc174080
207,"[3.2198513117269614, -0.3823994329877317, 0.8805174549476547, -1.7270514634028475, 0.6064089380489626, 0.33416181681138873, -0.3781303115289123, 1.1428503658900295, 0.19045233722416074, 1.310913736760357]",663f2c4c45a5a1b6dc174081
208,"[2.7655885006711753, 2.0298991825876853, -0.6724106196632164, 1.0665321872289113, -0.5333955829044041, -0.8220258571323537, 1.077971926211181, -0.06238918939722068, -0.44523553337188104, 0.3829129829286471]",663f2c4c45a5a1b6dc174082
209,"[4.254582627908021, 2.7931966906879553, -1.1971363330070297, -0.9853629126325394, 0.8840498900963484, -1.1829571133815306, 1.0100570689126178, 0.8847158392318517, 0.025464669157147186, 0.45649528790482596]",663f2c4c45a5a1b6dc174083
210,"[3.0380726943221505, 2.14066148506313, -0.41458671949242776, -0.08966786129852744, -0.14986792041874106, -0.040856481832281605, 0.7935439533465307, -0.39248797911894984, -0.2864560578253524, -0.6712881102559678]",663f2c4c45a5a1b6dc174084
211,"[4.627007878893156, 2.4021854689254605, -0.8629220483811701, -0.23930579773931343, -0.4533932652205903, -0.4930554278942712, 0.3675870779394064, 0.012037126326317484, -0.4785298485384126, 0.1307018179946171]",663f2c4c45a5a1b6dc174085
212,"[0.24749319177761275, 0.02933034668019898, 1.3157224802321956, -1.3503992647814946, -0.49867427988307994, 0.27907447130056184, 0.15176020139252971, -0.4056178773630979, -0.7035121263137026, -0.07728396619174945]",663f2c4c45a5a1b6dc174086
213,"[3.8254482645603396, -0.9659779240699655, 0.2543036101392995, -1.1247816164274311, -0.3786773043816656, 0.9918199209770896, 0.9807676190972171, -0.8070050059771245, -0.13963813256470808, 0.34866115076219]",663f2c4c45a5a1b6dc174087
237,"[-0.4581653560926906, 0.9863440883904727, -0.2887657288472793, 0.644323137014401, -0.14295037908847905, 0.5686430885399189, 0.44215005548383, -1.5484079997946434, 0.3350938166534117, -0.3696147821297635]",663f2c4c45a5a1b6dc174088
247,"[2.009735189598293, 0.5743248031587145, -0.9793061167135366, 0.07776305385968242, 1.1428111509952295, -0.846445914204716, -0.3353704268097395, 0.13534618698808332, -0.07744263457135374, -0.3865053617375142]",663f2c4c45a5a1b6dc174089
249,"[1.785276367349518, -1.8112125178301366, -1.167919090199915, 0.4029798798445638, 0.6478770170789769, -0.6897720390128652, 0.16414755165143316, -0.24262807359086982, 0.28439787020316615, 0.15513348999814985]",663f2c4c45a5a1b6dc17408a
255,"[2.038975175075229, -0.3174220267994753, -0.8407581417710795, -0.2409415973261996, 1.406337307139482, -1.1673638277966616, 0.21938819094264594, -0.1215773609237671, 0.41960491237479625, 0.4174809891733725]",663f2c4c45a5a1b6dc17408b
256,"[-1.866193319826952, 0.2704188287767763, -1.406129776552165, -0.934853357067053, -0.08887597315652997, 0.07351226869357422, -0.12375329409595552, -0.5419482982058212, -0.2161006069985078, -0.0581509540019464]",663f2c4c45a5a1b6dc17408c
257,"[-1.0183181853683323, 0.21638071491176236, -1.4382141175022567, -0.25076056352297316, 0.19190799963605204, 0.19675828356464503, -0.5996719190317604, -0.05508004713739388, -0.1592183551999206, -0.0536264427553963]",663f2c4c45a5a1b6dc17408d
258,"[-0.4033379353632858, 1.65242848583659, -1.0908220105480237, -0.41471453439453104, -0.3650780053468129, 0.2690102292933195, 0.13273529709943088, 0.3373049683765811, -0.37105153789932616, -0.17276090571719935]",663f2c4c45a5a1b6dc17408e
341,"[1.633097629318381, -1.1622085333905403, -0.5731453524727399, -1.681155892376526, -0.022792851930297803, -1.8191014624461053, 0.41679216643674954, -0.3830223266618122, 0.8520153250015662, 0.8667793307055609]",663f2c4c45a5a1b6dc17408f
343,"[-0.3552287144744004, -1.2642984178285188, 2.608662734942453, -0.006254685443030112, 0.7837094287095006, -0.8182912908618345, 2.320159566820192, 0.568753530554382, 0.5412616661386862, -0.3136494072241747]",663f2c4c45a5a1b6dc174090
352,"[-0.7257835758261496, -1.5168070363324637, -0.9036053844782103, 0.37314265103712085, 1.2199627971519214, -0.44064723650799364, -0.13595135669217975, -0.4385442392504666, 0.9067274181977262, 0.6153332584249239]",663f2c4c45a5a1b6dc174091
368,"[-1.040076890913651, -3.2466666148294934, 2.067834000396749, -1.1153323940242084, 0.5547400035151274, 0.16549209011505137, 1.6454283586058485, 0.3766931509163737, 0.7064568249725461, -0.06660789532871901]",663f2c4c45a5a1b6dc174092
369,"[-1.2486937483904286, -4.041586456981559, -0.44086204234148635, -0.2584669956877066, 0.1930282347096634, -0.13957560971146668, 0.6505911969231781, -0.9623257776008523, -0.10385061544727991, 0.9903154265459696]",663f2c4c45a5a1b6dc174093
397,"[-1.2165445352030098, -6.182409837164013, 0.015079756705398038, -1.5104810140801634, 0.08033593988524758, -1.4355992826959345, -0.6037217216316035, -0.687128358371934, 0.6411903178725501, 0.3141418978299013]",663f2c4c45a5a1b6dc174094
398,"[-1.6347184171748963, 0.6411268346845975, -0.24275320951678359, 0.09309149271233204, 0.6308300252964253, 0.8802326449871472, -0.14800824047110925, -0.5599118067539912, -0.20350035030544913, 0.8115649039710785]",663f2c4c45a5a1b6dc174095
399,"[-1.752839922696098, 0.40698705265766755, -1.2140935404795852, 0.9683571767941547, -0.35628673151253865, -1.3524385106233414, 0.3899787753290202, 1.4560148330252252, -0.2574084301099217, -0.5197175244229324]",663f2c4c45a5a1b6dc174096
400,"[3.527251584316527, -1.6699294964433673, -1.7310550780885856, -2.495415311556475, 0.7221010469188982, 0.8328248063060651, -0.06285140656514526, 0.40803639853960333, -0.1584190622514064, 0.31984848229738183]",663f2c4c45a5a1b6dc174097
405,"[-1.6360722267746173, -1.2307844638199608, -0.7908741728184314, -0.5153097455326995, 0.9417202522575621, -1.3053084990666344, -0.1442856347060667, -0.17591908184873564, -0.009326552963048006, 0.1737831908214856]",663f2c4c45a5a1b6dc174098
414,"[2.730725179110562, 0.4513915850423502, -0.5605074570191134, -1.3326371432144526, -0.961031464438996, -0.47599085983275874, -0.16092783885429662, -0.08535405084102536, 0.019836379464916638, -0.01811372783458544]",663f2c4c45a5a1b6dc174099
424,"[2.857294616835082, 3.0925474049249, -2.434865480358204, 0.632475542984461, 0.34590914495525354, 0.09899062669515919, 0.2562689962973457, 1.876056937862655, -0.2546038683938364, 0.5531511905841221]",663f2c4c45a5a1b6dc17409a
425,"[0.6847355979282859, -2.4071144354729914, -1.1088071201109269, -2.5986672661028765, -2.0033405034118794, -1.2491880594891887, -2.525755240651552, -0.880059173408883, 1.6512525928526074, -2.33774557621974]",663f2c4c45a5a1b6dc17409b
458,"[-2.4633942547168917, -0.9374053532365659, -1.589569530910524, 0.11193766820519188, -1.0409065100033277, 0.6627423910222824, 0.5868414259367122, 0.010930595348174735, -0.7658533265556137, -0.017937160454375493]",663f2c4c45a5a1b6dc17409c
459,"[-1.6971725483013536, -1.1801129464906925, -0.049653209496788045, -0.31498328219786903, 0.38753649523024036, -0.3021836236608113, 0.5962664185968052, -0.9600504881638431, -0.5649036886567914, -0.8464437613171393]",663f2c4c45a5a1b6dc17409d
512,"[1.1127115409611958, 2.3893784427787033, -1.3394781272297906, -1.0943058822124359, -0.5656333228329028, 1.9753091379909422, 1.4683868051692626, -0.25857477948841656, -0.2277015233636, 1.049589114593054]",663f2c4c45a5a1b6dc17409e
534,"[2.849786608695439, -2.1584880528015815, 0.7295174763988926, 1.19162980980752, -1.1928418212415495, -1.2839081406838013, -2.2069977531244107, 2.1621148756708055, -0.0971542281530741, -0.07133844057670542]",663f2c4c45a5a1b6dc17409f
535,"[2.753301817433819, -1.5552462059668912, 0.08489115024847095, 1.2166313113232154, -0.9897619165973784, -0.6362333174423097, -2.563477481900521, 1.800727248484294, -0.5859672665204178, 0.5946844884498987]",663f2c4c45a5a1b6dc1740a0
536,"[2.4553028304114624, -1.075083895105618, -0.28414320421917766, 1.3615861300143635, -1.8401296197037693, -1.26937443579129, -2.9096582741370396, 1.2451318840727876, -0.9800671602488485, 0.7589474362946965]",663f2c4c45a5a1b6dc1740a1
537,"[1.311905062039853, -2.2206266055743105, 0.48163118680702616, 0.1407384721090938, -0.6491540825935432, -1.4435056761837333, -2.67509802146088, 2.7586642890833066, 0.45055906790739847, -0.8249428478873384]",663f2c4c45a5a1b6dc1740a2
540,"[2.225948512077876, -0.9427586622398718, -0.4498570598466978, 1.0317152828032763, -1.2593050285156715, -0.3465083169066514, -2.293166749292607, 1.8599860165302464, -0.8821177517522267, 0.8063574479750801]",663f2c4c45a5a1b6dc1740a3
546,"[2.1918711200842105, -1.1373500804935035, -0.6067927685416894, 0.844226476273296, -1.5882748818496937, -0.6095686710720093, -2.5678934676059244, 1.862523923311761, 0.15169142802151864, -0.5305662931969843]",663f2c4c45a5a1b6dc1740a4
550,"[0.4792465806036459, -1.0707081210589748, 0.3821653691812193, -0.6417965925960043, 0.14187822481195403, 0.9651259238828644, 1.1921540527847119, 0.3104944302140447, 0.02470849185125309, -0.3114874538911281]",663f2c4c45a5a1b6dc1740a5
564,"[-0.35965383337940626, -2.6039596289368654, 1.0091046331419642, -0.36512347219063335, -0.054764054225895586, 0.12072696920340174, 0.07958432234328981, 0.3803599099893874, 0.17592484816094284, -0.20447616120793657]",663f2c4c45a5a1b6dc1740a6
573,"[-0.43498200313570384, 1.756499289172932, -0.02996793459285714, -0.3798631927396789, 1.4399425854159749, 0.5528385040106828, -0.4136157861889347, -0.0007835972250987291, -0.5750621037362813, -0.8060539832612248]",663f2c4c45a5a1b6dc1740a7
574,"[-0.34177221100182953, 2.0068841290405053, 0.02865599869586522, -0.6639330444786871, 0.7530795773865226, 1.1957332547225392, 0.20794712752997194, -0.016804666776899676, -1.1608114442251882, -0.47323509145031883]",663f2c4c45a5a1b6dc1740a8
583,"[-2.091373688108573, -2.524253306414882, -0.17740893003787406, -0.8296553646196378, 0.7467904338679041, -0.14623073870527978, -0.17167410306068756, -0.5055345450994325, 0.6160933201834815, 0.3610203503323189]",663f2c4c45a5a1b6dc1740a9
584,"[-0.9738422413590895, -2.64870774928125, 0.156703681483005, -0.6294415046112408, 0.4714248722716708, 0.010323802064008368, 0.4996974825146265, -0.10056812040610684, -0.800919156163122, 0.12291538612259031]",663f2c4c45a5a1b6dc1740aa
585,"[-1.6892694565360895, -3.6217612315657592, 0.3183743327434997, -0.027372576886521203, 0.14838890543633648, -0.3838420746689397, 0.032757725326698094, 0.12584342018535563, 0.47850701968109877, 0.01652612560561866]",663f2c4c45a5a1b6dc1740ab
590,"[1.7650607204934874, -0.76497237177017, 1.268188298797455, 0.9675944414902735, -0.25628534924874835, -0.8139619914991333, 0.010008357001353052, -0.3856778668724241, -0.030513023547237277, -0.8221812888699402]",663f2c4c45a5a1b6dc1740ac
591,"[2.519768320670549, -1.468731211119917, 1.0651916578025982, 0.028796747726479686, -0.5834889347928961, -1.5468788438010042, -0.4493208676270284, -0.7066567570791876, -0.7010980961399484, -0.19997214178661632]",663f2c4c45a5a1b6dc1740ad
592,"[2.6860743747639675, -1.3510468068638743, 0.8259820645365237, 1.1216256001351206, -0.5950206402351345, -0.27056275427392595, 0.3792457133048156, -0.3771071167297419, 0.7099191354092497, -0.6395708184084175]",663f2c4c45a5a1b6dc1740ae
593,"[2.4627632446471543, -1.2535822430456334, 1.2220264413323045, 1.393402142499571, -0.8772397260960536, 0.045203347844380896, 0.20663665544405713, -0.4630753931955477, 0.3673655167592009, -1.041010733081008]",663f2c4c45a5a1b6dc1740af
602,"[5.891197602386995, -1.9223478733234394, 2.215446709485965, 1.1321114869880373, -1.2298121756719, 0.4745156551187929, 0.6866439733934663, -0.9837409325679529, -0.18869732829386882, 1.2022871682852798]",663f2c4c45a5a1b6dc1740b0
603,"[1.2100358937330875, -1.8654783147211604, 1.6183392055711143, -3.173796244828086, -1.2804866888284914, -1.3161113471126293, 0.24407422821378896, 1.5164344112944805, 0.3456623853326155, 1.8680601793223706]",663f2c4c45a5a1b6dc1740b1
605,"[-1.1092040867953215, 2.219847510412765, 0.2603863587420873, 0.5391950840685774, 0.6647322227467953, 0.2368791927238809, -0.059867059216948494, -0.2564103648980076, -1.2864300080986724, 0.5899238895067604]",663f2c4c45a5a1b6dc1740b2
608,"[-1.2790299019864677, 0.9932801753448419, 0.8872143071426078, 0.5231378933812016, 0.392833027549338, -0.30918154723724545, 0.1285625345536651, -0.127012535768659, -1.113965344312431, 0.4075341864009302]",663f2c4c45a5a1b6dc1740b3
615,"[3.2049763980370214, -4.996710066580925, 2.314796243746865, 0.8446107400319484, 0.09482498279822149, 0.758117804225088, 0.7817787624448266, 1.9411765929276694, 0.27494770262113866, 0.21082167282007616]",663f2c4c45a5a1b6dc1740b4
619,"[3.975466973645098, 2.5090081280283507, -1.2015079407969764, -0.9082030053151302, 0.09738637899746863, 0.15062117630714963, 1.609748427647589, 0.15172739835756996, -0.4980543234333152, 0.7184249195144273]",663f2c4c45a5a1b6dc1740b5
620,"[2.5433591544468377, 0.7323510371951886, 0.7574453512649398, -0.07896822178919584, -0.8847773821026966, 0.3668698157397423, 0.6601014174686495, -0.3913408032574657, -0.22215562460759677, -0.08259082485688542]",663f2c4c45a5a1b6dc1740b6
621,"[3.682685508092006, 2.3702006436688783, 0.0937371962154618, 1.0789173469467466, 0.4888956693473593, -0.45617762790704525, 0.9687562762726755, -0.23869692117033958, -0.6904004633413321, 0.2893439512997955]",663f2c4c45a5a1b6dc1740b7
625,"[2.8045132192423727, 1.2103111217178109, 0.08836364760573734, -0.06293406399008719, 0.2872215491507945, 0.1937721349005447, -0.3612431333428399, -0.16140067314475526, -0.7133569599502381, -0.011571246991800947]",663f2c4c45a5a1b6dc1740b8
629,"[-2.354837773294074, -2.233785578226173, 0.7880417326643265, 0.08003775225059728, -1.0292998756777687, -1.192395755180485, 0.6009432254863908, 1.0487090977798894, 0.339143443913094, 0.5217657647729181]",663f2c4c45a5a1b6dc1740b9
631,"[-0.19101766437882894, 3.36991797897775, 2.151603409870888, -1.244222415251122, 1.3178713295099693, 0.40187128188867155, 0.7288070526525632, 0.20007322254500537, -0.4657740057648745, 0.3549414260687735]",663f2c4c45a5a1b6dc1740ba
633,"[-0.6312081569437743, -1.0353357166217807, -2.488798267969192, -0.10152412742544763, 0.5817652518254045, -0.183900901330832, -0.48333048157754355, -1.171053885020475, 0.5205671442881821, 0.37644231223372554]",663f2c4c45a5a1b6dc1740bb
635,"[-0.39007035613254576, -0.4035783406416774, -1.3733952503285112, 0.31579853620858234, -0.23976212788556642, 0.536349218726164, 0.41496649748390796, -0.8596175320745624, -0.23216006669862949, -0.24116547499423577]",663f2c4c45a5a1b6dc1740bc
664,"[1.2354537610146528, -1.2932879575392258, -0.30865163324314865, -0.5081373773600117, -0.004515805433838398, -0.32543971962812157, 0.3266447914531142, -0.23175632122805304, -1.0221233939069632, 0.8523770945433533]",663f2c4c45a5a1b6dc1740bd
665,"[-1.4836015622992351, 0.6359742566890967, 0.6834488574248795, 1.9431941003741484, 0.9014645663951618, -0.9651556339479189, 1.5053047595112223, -0.25340179081501096, 0.4476385839251953, 0.9912432272265487]",663f2c4c45a5a1b6dc1740be
666,"[2.236193487495332, 1.9440738032737284, -2.407773201224192, 2.5158261693631108, 0.39549264681763724, -2.7110167960392957, 1.5293795204771798, 0.8673792491420587, 0.9982539575404353, 0.9570164146770939]",663f2c4c45a5a1b6dc1740bf
667,"[0.9253225663513398, 2.755005686561154, -2.318238472101609, 1.8263042466621406, 0.7573374115522056, -3.194522431014796, 1.2151812339063803, 2.320836586234762, 1.2793684937499503, 0.6801236708300692]",663f2c4c45a5a1b6dc1740c0
668,"[0.97490310198404, 1.4679176962566365, 0.4431534457510745, -0.4102695830689632, 0.39165297797019744, -0.5277799379043505, 0.3550137050107528, -0.6394640510145795, -0.7720380175803637, -0.08500194523478267]",663f2c4c45a5a1b6dc1740c1
669,"[0.5995411343497403, 0.9983206733670038, 0.44622515631322995, -0.42630853710266026, 0.4055219396678781, -0.6463690901474507, 0.32181026527304724, -0.676183708736124, -0.7724738791388106, -0.03154592803536259]",663f2c4c45a5a1b6dc1740c2
672,"[-0.057183292948532465, -0.6097747435131363, 1.0763539165577851, 0.08220673904544931, 0.014419668162591241, -0.2645912608126147, 1.4151502034712378, 0.16192031859509362, -0.5383430677731883, -0.3148835136272563]",663f2c4c45a5a1b6dc1740c3
673,"[-0.01511973879913271, -0.5034154904894796, 1.1345589515619052, 0.0646636015002624, -0.017982467392908617, -0.24626430523968865, 1.4114517549814776, 0.18524633459586287, -0.5543179048117277, -0.33460275977557596]",663f2c4c45a5a1b6dc1740c4
674,"[-0.44398002314064106, 1.0245986537893463, 1.3651340001521366, -0.6337830434567333, -0.27672750293739956, 0.15217058215297488, 0.36040115468860856, 0.26260576798491997, -0.37394512726479473, 0.2108385982502384]",663f2c4c45a5a1b6dc1740c5
676,"[-0.6044045726138045, -1.0743152672674097, 1.329569389909811, -0.17286686150620842, -0.4913743672286753, -1.2151847621646767, 1.9239612745368304, -1.2423178900306573, -0.9135855149801722, 0.48173205879856873]",663f2c4c45a5a1b6dc1740c6
677,"[-0.4150722978459454, -0.8831129815275974, 1.4147137105469672, -0.1398745540523294, -0.4795269801922929, -1.1916650924858103, 1.9886099191108022, -1.2969246153303438, -0.9610579424006772, 0.45372925822956967]",663f2c4c45a5a1b6dc1740c7
679,"[0.042172965361853686, -0.022745070355717927, 0.37230940906836574, -0.30582094303015855, -0.06858192978872193, -0.4509829926416385, 1.026644177455524, -0.17819417778801794, -0.7936531509344533, 0.4721735764529236]",663f2c4c45a5a1b6dc1740c8
680,"[-0.864660589131433, -3.0919443629700716, 2.103030731866393, 0.8654140006735821, -0.42501245260173426, -0.12702048472440783, 0.4969925284941323, 0.12598637049753136, -0.30912810177901867, -0.671429218838107]",663f2c4c45a5a1b6dc1740c9
681,"[-0.8640866164103785, -3.0941230809795615, 2.0964846312102416, 0.8348197738099025, -0.43510474446264774, -0.14097318070646903, 0.4767109902174244, 0.13459139378085028, -0.32527344187535256, -0.6634069394116047]",663f2c4c45a5a1b6dc1740ca
684,"[0.006464242665230297, -1.0221640836653003, 0.9317897507603543, 0.24057807908289472, -0.24762474915550567, -0.8704642484634542, 1.0464811540697996, 0.35607325818748586, -0.4642759740315967, 0.36518796435920686]",663f2c4c45a5a1b6dc1740cb
686,"[1.3947893817504786, 1.2250786371431546, 0.5281249224695413, -0.4471130598323718, -0.9382945494278943, -0.4598239256592183, 0.6019930904382041, 0.4940504084806949, -0.04603553310741473, -0.029833649415726936]",663f2c4c45a5a1b6dc1740cc
690,"[-3.7792656467397086, -0.4298918278413318, -0.9372681230699516, 1.4593068779960592, -1.5191962401402972, 0.389560678013391, -0.44374231225005606, -0.7716453507227136, 1.2440930243739698, -0.019430852001843527]",663f2c4c45a5a1b6dc1740cd
694,"[-1.9774572669333754, 1.11775995190326, 1.4778061709773989, -1.3652274757783487, 0.2603403456467103, 0.38469918706764916, 0.792456535331691, -0.0034923006988145794, -0.4457306210370326, 0.12571946728455957]",663f2c4c45a5a1b6dc1740ce
695,"[-3.2714994120011576, 0.1301712960465347, 0.4297270419431547, -1.8426714110053781, 0.02692110579210256, -0.9969606257525983, -1.525889349832727, -0.10107558394321944, 0.5641685331525056, -0.17739557118063598]",663f2c4c45a5a1b6dc1740cf
696,"[-0.47736730055961846, 2.675990356147737, 1.7910855819043903, 0.08735243306292824, -0.4774100621387236, -0.0806809643458097, -0.49032685797330156, 0.060801658174483575, -0.44379915939363823, -1.142054050820994]",663f2c4c45a5a1b6dc1740d0
698,"[0.9754891358508567, 2.2875354460999553, 0.9184225669813604, 0.26166977166245525, 0.36924391289859154, -0.16540875722145157, -0.17231721700420624, 0.22556532515943836, -0.6085486486895474, -1.2862510061714612]",663f2c4c45a5a1b6dc1740d1
701,"[-0.21774960232444676, 1.2474468608549214, 0.3780103312601778, 0.8591618689411196, 0.1759818497194541, 0.2934805321466851, 0.04594080313175157, -0.3973164311695754, -0.28838856810769087, -0.5418871011759553]",663f2c4c45a5a1b6dc1740d2
702,"[1.1445341545432515, 2.3289615134547157, -0.9452875857640921, -0.9049376811508656, 1.8531477761861812, 1.487580843543906, -0.6002534041959545, -0.3684414360186529, -0.19282047909707067, 0.16516912939558898]",663f2c4c45a5a1b6dc1740d3
703,"[0.9974441264851621, -0.18695431150388123, 0.7656078469001565, 1.3131678565537308, 0.7899874226497453, -0.39078372803696504, -0.11426801752746311, -0.8782974543057491, 0.14263518191730876, -0.835094528116769]",663f2c4c45a5a1b6dc1740d4
704,"[-2.773265909407921, 0.16267113501006658, 1.5686270099106527, -0.32607766458489107, 0.23317997806858987, 0.9105041499900799, 0.15903989569626473, -0.35155222784061396, -0.48430516472699814, -0.5630804051339219]",663f2c4c45a5a1b6dc1740d5
705,"[-3.278444758323221, 0.349633851388658, 1.3547666203518973, -0.6652559041031547, 0.1770209029205403, -0.30271913808912815, 0.4701563068363796, -0.49416334340241175, 0.70878142192695, -0.5253096974210644]",663f2c4c45a5a1b6dc1740d6
706,"[-2.7695155930428768, 1.237922638322265, 1.440348673882781, -0.2712555167110612, 1.472274618328554, 0.15404391239888654, 1.0004499674783534, 1.1681431427315105, -0.3741109920960846, 0.2050730155041719]",663f2c4c45a5a1b6dc1740d7
707,"[-2.055655381250063, -0.8156718910133665, -0.7107639176119898, 1.5770896568520023, -2.480965074402068, 1.0956979131324796, 0.29253324562944244, 0.5054118244214986, 0.2896484615356878, -0.8472820794447227]",663f2c4c45a5a1b6dc1740d8
708,"[-1.4886416437392234, -0.7747324172030449, 0.3515517755594815, -0.7184686602085195, -1.214006818953585, 0.3684304585838375, 0.8298551551468902, 0.7267344795258963, -0.1006616608476681, -0.7065771173955934]",663f2c4c45a5a1b6dc1740d9
709,"[-1.2718093468468015, 0.10030106011753945, 0.1456621310687423, -1.534474298274001, 1.3604108116448737, 0.08404789371992205, 0.7057681504930076, 1.1111299115540982, 0.0606178079608689, -0.1379688792089323]",663f2c4c45a5a1b6dc1740da
714,"[0.15402497692780368, -2.6845447538146034, -0.6381854215870076, -0.5058468263684234, -0.7514918661886206, 1.3737262318125372, -2.5412019119498392, 1.5603079374424227, -0.6695551564351868, -0.02781769842889759]",663f2c4c45a5a1b6dc1740db
715,"[4.997155113485717, -0.19005414743230842, 0.17902309560044496, 0.4257479944194051, 2.575976311404751, 1.1325396126397103, -0.05567658516864962, -0.3013848686956834, 1.026066992617193, 0.3542247250234813]",663f2c4c45a5a1b6dc1740dc
716,"[3.2377019595162437, 0.6631939725262136, -2.59447378656399, -0.7617923806669621, -2.798525367533725, -1.1039913424443901, -0.1543906532725714, -0.5470602710258987, 1.551565655261611, -0.7783899238072508]",663f2c4c45a5a1b6dc1740dd
717,"[0.6836392621618375, -1.848774083553285, -1.126871957750251, 2.6563031292037143, 0.14592831283035562, 1.5356472165406676, -1.246209142708865, 2.2466023663712664, 0.5014558497063272, -0.5382763218981848]",663f2c4c45a5a1b6dc1740de
718,"[2.8708453483203615, 5.018464746022674, 0.7356912188279766, -1.1468592137181979, -0.4474032845556323, 0.4419319540400454, 0.22273962240447615, 0.9750863376642948, 0.9702314216323579, -0.25925924774972803]",663f2c4c45a5a1b6dc1740df
